player_id,player_name,season_name,start_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,yellow_cards,red_cards
1,David Raya Martín,2023/24,50,135,2880,0,0,16,24,6,2,0
1,David Raya Martín,2024/25,55,142,3420,0,0,13,34,10,3,0
2,Kepa Arrizabalaga Revuelta,2023/24,50,0,0,0,0,0,0,0,0,0
2,Kepa Arrizabalaga Revuelta,2024/25,45,106,2790,0,0,8,39,7,3,0
3,Karl Hein,2023/24,40,0,0,0,0,0,0,0,0,0
3,Karl Hein,2024/25,40,0,0,0,0,0,0,0,0,0
4,Tommy Setford,2024/25,45,0,0,0,0,0,0,0,0,0
5,Gabriel dos Santos Magalhães,2023/24,50,149,3042,3,1,16,26,8,4,0
5,Gabriel dos Santos Magalhães,2024/25,60,117,2363,3,2,10,22,9,4,0
6,William Saliba,2023/24,50,164,3420,2,1,18,29,13,4,0
6,William Saliba,2024/25,60,130,3039,2,0,12,29,14,2,1
7,Riccardo Calafiori,2024/25,60,39,978,2,1,1,12,1,4,0
8,Jurriën Timber,2023/24,50,0,70,0,0,0,0,0,2,0
8,Jurriën Timber,2024/25,55,114,2415,1,3,11,21,9,7,0
9,Jakub Kiwior,2023/24,45,67,942,1,3,6,8,1,1,0
9,Jakub Kiwior,2024/25,50,43,1117,1,0,3,15,2,1,0
10,Myles Lewis-Skelly,2023/24,45,0,0,0,0,0,0,0,0,0
10,Myles Lewis-Skelly,2024/25,45,37,1362,1,0,5,16,0,3,2
11,Benjamin White,2023/24,55,182,2987,4,5,18,26,14,8,0
11,Benjamin White,2024/25,65,50,1195,0,2,5,13,0,2,0
13,Brayden Clarke,2024/25,40,0,0,0,0,0,0,0,0,0
14,Maldini Kacurri,2024/25,40,0,0,0,0,0,0,0,0,0
15,Josh Nichols,2024/25,40,0,0,0,0,0,0,0,0,0
16,Bukayo Saka,2023/24,85,226,2922,16,12,16,27,29,4,0
16,Bukayo Saka,2024/25,100,127,1724,6,11,7,21,18,3,0
17,Martin Ødegaard,2023/24,85,186,3098,8,11,19,23,26,2,0
17,Martin Ødegaard,2024/25,85,116,2321,3,9,11,21,11,4,0
18,Noni Madueke,2023/24,55,76,1044,5,3,4,19,7,2,0
18,Noni Madueke,2024/25,65,120,2028,7,5,6,28,12,3,0
19,Gabriel Martinelli Silva,2023/24,80,118,2010,6,5,10,23,6,1,0
19,Gabriel Martinelli Silva,2024/25,70,125,2284,8,4,10,25,6,1,0
20,Leandro Trossard,2023/24,70,138,1633,12,2,12,10,11,2,0
20,Leandro Trossard,2024/25,70,152,2546,8,8,11,27,18,2,1
21,Declan Rice,2023/24,55,165,3225,7,9,17,28,17,5,0
21,Declan Rice,2024/25,65,127,2823,4,7,11,29,17,5,1
22,Mikel Merino Zazón,2018/19,50,0,0,0,0,0,0,0,0,0
22,Mikel Merino Zazón,2024/25,60,92,1575,7,2,4,17,8,2,1
23,Fábio Ferreira Vieira,2023/24,55,24,290,1,3,1,2,0,0,1
23,Fábio Ferreira Vieira,2024/25,55,0,0,0,0,0,0,0,0,0
24,Christian Nørgaard,2023/24,55,74,2504,2,1,6,51,3,8,0
24,Christian Nørgaard,2024/25,50,107,2820,5,5,6,45,7,8,1
25,Ethan Nwaneri,2023/24,45,1,13,0,0,0,0,0,0,0
25,Ethan Nwaneri,2024/25,45,66,882,4,2,4,4,4,1,0
28,Ismeal Kabia,2024/25,45,0,0,0,0,0,0,0,0,0
29,Albert Sambi Lokonga,2022/23,45,23,728,0,0,2,8,0,2,0
29,Albert Sambi Lokonga,2023/24,50,47,1304,1,3,2,31,4,4,0
30,Kai Havertz,2023/24,75,180,2627,13,10,16,22,15,11,0
30,Kai Havertz,2024/25,80,97,1872,9,3,7,20,14,5,0
31,Gabriel Fernando de Jesus,2023/24,80,85,1470,4,7,11,11,10,6,0
31,Gabriel Fernando de Jesus,2024/25,70,42,600,3,2,2,5,6,4,0
266,Eberechi Eze,2023/24,65,136,2054,11,5,8,28,11,3,0
266,Eberechi Eze,2024/25,70,148,2588,8,8,10,34,15,1,0
666,Viktor Gyökeres,2018/19,45,0,0,0,0,0,0,0,0,0
32,Emiliano Martínez Romero,2023/24,50,115,3015,0,0,8,48,19,4,0
32,Emiliano Martínez Romero,2024/25,50,111,3195,0,0,8,47,6,5,1
34,Joe Gauci,2023/24,40,0,0,0,0,0,0,0,0,0
34,Joe Gauci,2024/25,40,0,0,0,0,0,0,0,0,0
35,Filip Marschall,2023/24,40,0,0,0,0,0,0,0,0,0
35,Filip Marschall,2024/25,40,0,0,0,0,0,0,0,0,0
36,Matty Cash,2023/24,45,64,2138,2,2,3,36,4,8,0
36,Matty Cash,2024/25,45,76,2069,1,1,7,22,2,7,0
37,Lucas Digne,2023/24,45,85,2405,1,4,6,41,5,7,0
37,Lucas Digne,2024/25,45,89,2348,0,5,6,36,7,4,0
38,Ezri Konsa Ngoyo,2023/24,45,91,3069,1,1,7,54,7,5,0
38,Ezri Konsa Ngoyo,2024/25,45,103,2936,2,0,8,45,10,1,0
39,Ian Maatsen,2023/24,55,11,200,0,0,0,5,0,1,0
39,Ian Maatsen,2024/25,50,57,1125,1,2,3,16,0,2,0
40,Tyrone Mings,2023/24,45,0,30,0,0,0,2,0,0,0
40,Tyrone Mings,2024/25,45,47,1119,0,1,4,11,5,1,0
41,Pau Torres,2023/24,45,85,2462,2,0,6,37,4,1,0
41,Pau Torres,2024/25,45,55,2019,0,0,5,33,3,2,0
42,Andrés García,2024/25,45,8,316,0,0,0,5,0,0,0
43,Álex Moreno Lopera,2023/24,50,49,1024,2,0,3,20,5,2,0
43,Álex Moreno Lopera,2024/25,45,34,952,0,1,3,16,1,2,0
44,Lamare Bogarde,2022/23,40,0,0,0,0,0,0,0,0,0
44,Lamare Bogarde,2024/25,40,6,473,0,0,0,11,0,2,0
45,Lino da Cruz Sousa,2022/23,40,0,0,0,0,0,0,0,0,0
45,Lino da Cruz Sousa,2024/25,40,0,0,0,0,0,0,0,0,0
47,Morgan Rogers,2023/24,50,35,636,3,1,2,13,0,3,0
47,Morgan Rogers,2024/25,50,161,3115,8,11,10,40,15,10,0
48,Youri Tielemans,2023/24,60,77,1613,2,6,4,27,2,3,0
48,Youri Tielemans,2024/25,55,121,3025,3,7,7,46,15,4,0
49,Leon Bailey,2023/24,55,148,2063,10,11,5,32,11,5,0
49,Leon Bailey,2024/25,65,47,1132,1,2,2,19,2,3,0
50,Emiliano Buendía Stati,2023/24,60,0,0,0,0,0,0,0,0,0
50,Emiliano Buendía Stati,2024/25,55,11,89,0,0,0,2,0,1,0
51,Samuel Iling-Junior,2024/25,55,0,0,0,0,0,0,0,0,0
53,Donyell Malen,2024/25,55,34,296,3,0,0,6,3,0,0
54,John McGinn,2023/24,55,119,3000,6,5,7,54,9,9,1
54,John McGinn,2024/25,55,78,2217,1,4,8,34,1,7,0
55,Ross Barkley,2023/24,50,101,2616,5,5,2,66,4,6,0
55,Ross Barkley,2024/25,55,44,567,3,1,1,10,5,3,0
56,Enzo Barrenechea,2024/25,50,0,0,0,0,0,0,0,0,0
57,Lewis Dobbin,2023/24,45,18,226,1,0,1,3,0,1,0
57,Lewis Dobbin,2024/25,50,0,0,0,0,0,0,0,0,0
58,Boubacar Kamara,2023/24,50,40,1653,0,1,7,22,1,7,1
58,Boubacar Kamara,2024/25,50,57,1720,1,0,6,22,3,2,0
59,Amadou Onana,2023/24,50,66,2085,2,0,5,38,5,5,0
