equipo_id,nombre_equipo,codigo_pais,nombre_pais
1,Brentford,ENG,England
2,Arsenal,ENG,England
3,Aston Villa,ENG,England
4,Leicester,ENG,England
5,Bournemouth,ENG,England
6,Everton,ENG,England
7,Brighton,ENG,England
8,Crystal Palace,ENG,England
9,Chelsea,ENG,England
10,Manchester City,ENG,England
11,West Ham,ENG,England
12,Southampton,ENG,England
13,Tottenham,ENG,England
14,Newcastle,ENG,England
15,Fulham,ENG,England
16,Ipswich,ENG,England
17,Liverpool,ENG,England
18,Manchester United,ENG,England
19,Wolves,ENG,England
20,Nottingham Forest,ENG,England
21,Sunderland,ENG,England
22,Burnley,ENG,England
23,Leeds,ENG,England
