element,fixture,total_points
353377,1821280,5
279379,1821280,5
238916,1821280,5
380706,1821280,5
92547,1821298,5
318750,1821298,5
327682,1821298,5
295084,1821297,5
456771,1821299,5
373525,1821299,0
395692,1821300,5
328096,1821300,5
111372,1821303,0
315227,1821303,5
315227,1821303,5
331254,1821303,5
104058,1821303,5
407260,1821304,5
353377,1821304,5
353377,1821304,0
368512,1821304,5
296240,1821304,5
136459,1821305,5
349669,1821305,5
299254,1821305,5
138686,1821301,5
108186,1821301,0
401254,1821301,0
108186,1821301,0
340105,1821302,5
352825,1821302,5
108226,1821302,0
386634,1821302,5
332867,1821306,5
73380,1821306,5
281049,1821306,5
331254,1821308,5
331254,1821308,5
296240,1821308,5
101856,1821308,5
395692,1821314,5
331579,1821314,0
357073,1821314,5
361330,1821314,5
73380,1821312,5
235755,1821312,5
313542,1821313,5
143595,1821313,5
136824,1821313,5
319756,1821313,5
136824,1821313,5
91909,1821307,5
136459,1821307,0
113994,1821307,5
148503,1821309,5
328096,1821311,5
374631,1821311,5
299254,1821315,5
299254,1821315,5
349669,1821315,5
425142,1821310,5
362433,1821310,5
408962,1821316,0
386634,1821316,5
386634,1821316,5
386634,1821316,5
380706,1821317,5
326413,1821317,5
136345,1821317,5
148503,1821317,5
400828,1821318,5
400828,1821318,5
363686,1821288,5
140088,1821288,5
331579,1821290,5
338780,1821290,5
331579,1821290,5
331579,1821290,5
424273,1821290,5
328096,1821292,5
351127,1821292,-1
328096,1821292,0
141469,1821286,5
366116,1821286,5
429922,1821286,0
355855,1821286,5
317804,1821286,5
331254,1821287,5
93894,1821287,5
331254,1821287,5
388098,1821287,5
315227,1821287,5
425576,1821287,5
484175,1821289,5
123761,1821289,0
425142,1821289,5
362433,1821289,5
402596,1821291,5
350088,1821291,5
73380,1821291,5
136742,1821291,5
122182,1821291,5
136464,1821285,5
94042,1821285,5
363496,1821285,5
389935,1821285,5
331579,1821389,5
422183,1821389,5
422183,1821389,5
422183,1821389,5
357073,1821389,5
366116,1821393,0
369875,1821399,5
108226,1821399,5
352825,1821399,5
352825,1821399,5
381161,1821399,5
389935,1821401,5
402664,1821401,5
315227,1821401,5
331254,1821401,5
136742,1821403,5
299254,1821403,0
299254,1821403,5
343501,1821403,5
467918,1821405,-1
403693,1821405,-1
386519,1821405,5
369813,1821391,5
