fpl_name,csv_name,fpl_id,csv_id
David Raya Martín,David Raya,1,276366
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,2,113880
William Saliba,William Saliba,6,361822
Jurriën Timber,Jurriën Timber,8,388650
Myles Lewis-Skelly,Myles Lewis-Skelly,10,467918
Benjamin White,Ben White,11,322036
Bukayo Saka,Bukayo Saka,16,367185
Leandro Trossard,Leandro Trossard,20,113994
Declan Rice,Declan Rice,21,332325
Mikel Merino Zazón,Mikel Merino,22,238916
Christian Nørgaard,Christian Nørgaard,24,101856
Ethan Nwaneri,Ethan Nwaneri,25,456771
Martín Zubimendi Ibáñez,Martín Zubimendi,26,372424
Eberechi Eze,Eberechi Eze,266,332403
Cristhian Mosquera,Cristhian Mosquera,662,425591
Max Dowman,Max Dowman,700,571994
Andre Harriman-Annous,André,711,397585
Piero Hincapié,Piero Hincapié,725,404832
Emiliano Martínez Romero,Emiliano Martínez,32,102248
Marco Bizot,Marco Bizot,33,83824
Lucas Digne,Lucas Digne,37,89925
Ian Maatsen,Ian Maatsen,39,384134
Pau Torres,Pau Torres,41,344259
Morgan Rogers,Morgan Rogers,47,362824
Youri Tielemans,Youri Tielemans,48,136345
Emiliano Buendía Stati,Emiliano Buendía,50,260592
Donyell Malen,Donyell Malen,53,351354
John McGinn,John McGinn,54,318449
Ross Barkley,Ross Barkley,55,92547
Boubacar Kamara,Boubacar Kamara,58,331790
Ben Broggio,Ben Mee,60,94935
Ollie Watkins,Ollie Watkins,64,148503
Harvey Elliott,Harvey Elliott,389,363982
Jadon Sancho,Jadon Sancho,456,346300
Evann Guessand,Evann Guessand,677,382587
Bradley Burrowes,Bradley Burrowes,702,550064
Victor Lindelöf,Victor Lindelöf,719,100008
Kyle Walker,Kyle Walker,187,69778
Hjalmar Ekdal,Hjalmar Ekdal,190,399619
Maxime Estève,Maxime Estève,191,414233
Quilindschy Hartman,Quilindschy Hartman,192,444739
Bashir Humphreys,Bashir Humphreys,193,467968
Lucas Pires Silva,Lucas Pires,195,436501
Oliver Sonne,Oliver Sonne,197,444334
Axel Tuanzebe,Axel Tuanzebe,198,299271
Joe Worrall,Joe Worrall,199,315714
Jaidon Anthony,Jaidon Anthony,200,400610
Jacob Bruun Larsen,Jacob Bruun Larsen,202,307202
Josh Cullen,Josh Cullen,205,273292
Marcus Edwards,Marcus Edwards,206,279177
Hannibal Mejbri,Hannibal Mejbri,207,416207
Josh Laurent,Josh Laurent,209,142676
Loum Tchaouna,Loum Tchaouna,210,425118
Zian Flemming,Zian Flemming,215,361694
Lyle Foster,Lyle Foster,217,371447
Ashley Barnes,Ashley Barnes,218,33386
Martin Dúbravka,Martin Dúbravka,470,46092
Lesley Ugochukwu,Lesley Ugochukwu,676,404616
Florentino Ibrain Morris Luís,Florentino,722,369712
Marcos Senesi Barón,Marcos Senesi,72,328330
Adam Smith,Adam Smith,73,69877
Adrien Truffert,Adrien Truffert,74,398301
James Hill,James Hill,77,362837
Julián Araujo Zúñiga,Julián Araujo,78,371039
Julio Soler Barreto,Julio Soler,80,437310
Marcus Tavernier,Marcus Tavernier,84,344314
David Brooks,David Brooks,86,295084
Ryan Christie,Ryan Christie,87,128882
Lewis Cook,Lewis Cook,88,136456
Alex Scott,Alex Scott,90,410998
Francisco Evanilson de Lima Barbosa,Evanilson,97,384430
Enes Ünal,Enes Ünal,98,134695
Bafodé Diakité,Bafodé Diakité,685,366875
Remy Rees-Dottin,Remy Rees-Dottin,687,549379
Amine Adli,Amine Adli,697,389409
Álex Jiménez Sánchez,Álex Jiménez,713,497295
Veljko Milosavljevic,Veljko Milosavljevic,721,510940
Reiss Nelson,Reiss Nelson,27,342564
Dango Ouattara,Dango Ouattara,83,422183
Caoimhín Kelleher,Caoimhín Kelleher,101,322176
Hákon Rafn Valdimarsson,Hákon Valdimarsson,105,412313
Nathan Collins,Nathan Collins,106,372724
Keane Lewis-Potter,Keane Lewis-Potter,107,368512
Kristoffer Ajer,Kristoffer Ajer,108,321085
Rico Henry,Rico Henry,109,229562
Michael Kayode,Michael Kayode,110,470031
Ethan Pinnock,Ethan Pinnock,111,342499
Sepp van den Berg,Sepp van den Berg,113,351705
Aaron Hickey,Aaron Hickey,116,402367
Kevin Schade,Kevin Schade,120,407260
Mikkel Damsgaard,Mikkel Damsgaard,121,401168
Fábio Freitas Gouveia Carvalho,Fábio Carvalho,123,401385
Jordan Henderson,Jordan Henderson,124,68659
Vitaly Janelt,Vitaly Janelt,125,298689
Mathias Jensen,Mathias Jensen,126,339674
Gustavo Nunes Fernandes Gomes,Gustavo Nunes,127,492869
