Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,status
Nordi,Mukiele,Sunderland,Defender,Arsenal,True,42,6.4,1375,1.5238095238095237,1,a
Gabriel,dos Santos Magalhães,Arsenal,Defender,Sunderland,False,66,9.0,1100,1.3636363636363638,1,a
Matty,Cash,Aston Villa,Defender,Bournemouth,True,46,6.2,1220,1.347826086956522,0,a
Adrien,Truffert,Bournemouth,Defender,Aston Villa,False,45,5.6,1145,1.2444444444444445,0,a
Joe,Rodon,Leeds,Defender,Nott'm Forest,False,41,4.8,1100,1.1707317073170733,0,a
Micky,van de Ven,Spurs,Defender,Man Utd,True,48,5.6,1205,1.1666666666666667,1,a
Sean,Longstaff,Leeds,Midfielder,Nott'm Forest,False,49,5.4,1100,1.1020408163265305,0,a
Quilindschy,Hartman,Burnley,Defender,West Ham,False,40,4.4,1075,1.1,0,a
Reece,James,Chelsea,Defender,Wolves,True,55,6.0,1085,1.0909090909090908,0,a
Harry,Maguire,Man Utd,Defender,Spurs,False,44,4.8,1165,1.0909090909090908,0,a
Trai,Hume,Sunderland,Defender,Arsenal,True,45,4.8,1375,1.0666666666666667,0,a
Robin,Roefs,Sunderland,Goalkeeper,Arsenal,True,47,5.0,1375,1.0638297872340425,0,a
Rodrigo,Bentancur,Spurs,Midfielder,Man Utd,True,53,5.6,1205,1.0566037735849056,0,a
Junior,Kroupi,Bournemouth,Forward,Aston Villa,False,46,4.8,1145,1.0434782608695652,0,a
Nico,O'Reilly,Man City,Defender,Liverpool,True,49,5.0,1265,1.0204081632653061,0,a
Matheus,Nunes,Man City,Defender,Liverpool,True,53,5.4,1265,1.0188679245283019,0,a
João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,Midfielder,Man Utd,True,55,5.6,1205,1.018181818181818,0,a
Marcos,Senesi Barón,Bournemouth,Defender,Aston Villa,False,50,5.0,1145,1.0,0,a
Marc,Guéhi,Crystal Palace,Defender,Brighton,True,50,5.0,1160,1.0,0,a
Danny,Welbeck,Brighton,Forward,Crystal Palace,False,65,6.4,1165,0.9846153846153847,1,a
Đorđe,Petrović,Bournemouth,Goalkeeper,Aston Villa,False,45,4.4,1145,0.9777777777777779,0,a
Declan,Rice,Arsenal,Midfielder,Sunderland,False,68,6.6,1100,0.9705882352941176,1,a
Igor Thiago,Nascimento Rodrigues,Brentford,Forward,Newcastle,True,62,6.0,1220,0.9677419354838709,0,a
Ryan,Gravenberch,Liverpool,Midfielder,Man City,False,56,5.4,1250,0.9642857142857144,0,a
Jan Paul,van Hecke,Brighton,Defender,Crystal Palace,False,44,4.2,1165,0.9545454545454545,0,a
Josh,Acheampong,Chelsea,Defender,Wolves,True,39,3.6,1085,0.9230769230769231,0,a
Dan,Burn,Newcastle,Defender,Brentford,False,52,4.8,1135,0.923076923076923,0,a
Antoine,Semenyo,Bournemouth,Midfielder,Aston Villa,False,81,7.4,1145,0.9135802469135803,0,a
Granit,Xhaka,Sunderland,Midfielder,Arsenal,True,51,4.6,1375,0.9019607843137255,0,a
Martin,Dúbravka,Burnley,Goalkeeper,West Ham,False,40,3.6,1075,0.9,0,a
Brenden,Aaronson,Leeds,Midfielder,Nott'm Forest,False,54,4.8,1100,0.8888888888888888,0,a
Caoimhín,Kelleher,Brentford,Goalkeeper,Newcastle,True,45,4.0,1220,0.8888888888888888,0,a
Luke,Shaw,Man Utd,Defender,Spurs,False,45,4.0,1165,0.8888888888888888,0,a
Kyle,Walker,Burnley,Defender,West Ham,False,44,3.8,1075,0.8636363636363635,0,a
Malick,Thiaw,Newcastle,Defender,Brentford,False,49,4.2,1135,0.8571428571428571,0,a
