id,kickoff_time,team_h,team_a,team_h_score,team_a_score
1821280,2025-01-01T17:30:00,189,13,1,3
1821298,2025-01-04T15:00:00,24,14,2,1
1821297,2025-01-04T15:00:00,183,31,1,0
1821299,2025-01-04T17:30:00,211,13,1,1
1821300,2025-01-04T15:00:00,162,15,1,1
1821303,2025-01-04T15:00:00,167,29,4,1
1821304,2025-01-04T15:00:00,18,189,0,5
1821305,2025-01-04T12:30:00,30,23,1,2
1821301,2025-01-05T14:00:00,170,165,2,2
1821302,2025-01-05T16:30:00,26,32,2,2
1821306,2025-01-06T20:00:00,161,174,0,3
1821308,2025-01-14T19:30:00,189,167,2,2
1821314,2025-01-14T19:30:00,15,183,2,2
1821312,2025-01-14T20:00:00,174,26,1,1
1821313,2025-01-14T19:30:00,29,170,3,2
1821307,2025-01-15T20:00:00,13,30,2,1
1821309,2025-01-15T19:30:00,31,24,0,1
1821311,2025-01-15T19:30:00,14,162,0,2
1821315,2025-01-15T19:30:00,23,161,3,0
1821310,2025-01-16T19:30:00,165,211,0,2
1821316,2025-01-16T20:00:00,32,18,3,1
1821317,2025-01-18T17:30:00,13,24,2,2
1821318,2025-01-18T15:00:00,189,26,0,2
1821288,2025-01-18T15:00:00,14,170,0,2
1821290,2025-01-18T12:30:00,23,183,1,4
1821292,2025-01-18T15:00:00,29,162,0,2
1821286,2025-01-19T14:00:00,31,30,3,2
1821287,2025-01-19T16:30:00,165,167,0,6
1821289,2025-01-19T14:00:00,32,211,1,3
1821291,2025-01-19T14:00:00,174,18,3,2
1821285,2025-01-20T20:00:00,15,161,3,1
1821389,2025-01-25T15:00:00,183,174,5,0
1821393,2025-01-25T15:00:00,211,31,0,1
1821399,2025-01-25T15:00:00,26,165,4,1
1821401,2025-01-25T17:30:00,167,15,3,1
1821403,2025-01-25T15:00:00,18,23,1,3
1821405,2025-01-25T15:00:00,161,13,0,1
1821391,2025-01-26T16:30:00,24,29,1,1
1821395,2025-01-26T14:00:00,162,189,1,2
1821397,2025-01-26T19:00:00,170,32,0,1
1821404,2025-01-26T14:00:00,30,14,1,2
1821406,2025-02-01T15:00:00,183,26,0,2
1821410,2025-02-01T15:00:00,31,14,4,0
1821411,2025-02-01T15:00:00,165,18,1,2
1821413,2025-02-01T15:00:00,23,170,1,2
1821414,2025-02-01T12:30:00,174,211,7,0
1821415,2025-02-01T17:30:00,161,24,2,0
1821407,2025-02-02T16:30:00,13,167,5,1
1821408,2025-02-02T14:00:00,189,30,0,2
1821412,2025-02-02T14:00:00,32,162,0,2
1821409,2025-02-03T20:00:00,15,29,2,1
1821192,2025-02-12T19:30:00,31,26,2,2
1821417,2025-02-14T20:00:00,211,15,3,0
1821416,2025-02-15T15:00:00,24,165,1,1
1821418,2025-02-15T17:30:00,162,31,1,2
1821419,2025-02-15T15:00:00,170,174,2,1
1821420,2025-02-15T12:30:00,14,13,0,2
1821422,2025-02-15T15:00:00,167,23,4,0
1821423,2025-02-15T15:00:00,18,183,1,3
1821425,2025-02-15T15:00:00,29,189,0,1
1821421,2025-02-16T14:00:00,26,161,2,1
1821424,2025-02-16T16:30:00,30,32,1,0
1821173,2025-02-19T19:30:00,24,26,2,2
1821396,2025-02-21T20:00:00,14,189,0,4
1821427,2025-02-22T15:00:00,13,29,0,1
1821428,2025-02-22T17:30:00,24,15,2,1
1821426,2025-02-22T15:00:00,183,161,0,1
1821390,2025-02-22T12:30:00,31,32,2,2
1821392,2025-02-22T15:00:00,170,162,0,2
1821394,2025-02-22T15:00:00,165,30,1,4
1821402,2025-02-22T15:00:00,18,211,0,4
1821398,2025-02-23T16:30:00,167,26,0,2
1821400,2025-02-23T14:00:00,23,174,4,3
1821125,2025-02-25T19:30:00,211,183,2,1
