jugador_id,nombre_jugador
401168,Mikkel Damsgaard
115131,Mark Flekken
334087,Gabriel Magalhães
329554,Mads Roerslev
372724,Nathan Collins
368512,Keane Lewis-Potter
351705,Sepp van den Berg
444304,Yehor Yarmoliuk
388650,Jurriën Timber
456771,Ethan Nwaneri
361822,William Saliba
247454,Martin Ødegaard
238940,Thomas Partey
279379,Gabriel Jesus
386519,Riccardo Calafiori
101856,Christian Nørgaard
296240,Yoane Wissa
276366,David Raya
380706,Gabriel Martinelli
238916,Mikel Merino
353377,Bryan Mbeumo
298689,Vitaly Janelt
399525,Paris Maghoma
407260,Kevin Schade
492686,Kim Ji-Soo
339674,Mathias Jensen
467918,Myles Lewis-Skelly
113994,Leandro Trossard
332325,Declan Rice
106968,Jorginho
273257,Oleksandr Zinchenko
433572,Bilal El Khannouss
407587,Jakub Stolarczyk
92547,Ross Barkley
67491,Jordan Ayew
136345,Youri Tielemans
345664,Boubakary Soumaré
97710,Conor Coady
143990,Harry Winks
301441,James Justin
123167,Tyrone Mings
318449,John McGinn
331790,Boubacar Kamara
322043,Matty Cash
301440,Ezri Konsa
327682,Leon Bailey
396317,Luke Thomas
87182,Jannik Vestergaard
318750,Stephy Mavididi
106981,Jamie Vardy
89925,Lucas Digne
102248,Emiliano Martínez
148503,Ollie Watkins
369813,Jacob Ramsey
299693,Wout Faes
260592,Emiliano Buendía
384134,Ian Maatsen
345560,Patson Daka
368312,Caleb Okoli
432384,Facundo Buonanotte
134332,Bobby De Cordova-Reid
80464,Idrissa Gueye
110189,Jordan Pickford
422183,Dango Ouattara
393407,Armando Broja
128882,Ryan Christie
403646,Jesper Lindstrøm
424273,Milos Kerkez
468852,Dean Huijsen
8166,Ashley Young
344073,Orel Mangala
362837,James Hill
345516,Vitalii Mykolenko
116317,Abdoulaye Doucouré
331579,Justin Kluivert
384430,Evanilson
136456,Lewis Cook
381045,Jarrad Branthwaite
399826,Illia Zabarnyi
366116,Iliman Ndiaye
357073,Antoine Semenyo
131464,James Tarkowski
362806,Mark Travers
141469,Dominic Calvert-Lewin
396975,Nathan Patterson
535879,Harrison Armstrong
134695,Enes Ünal
315275,Tyler Adams
295084,David Brooks
380546,Beto
145277,Philip Billing
365402,Jan Paul van Hecke
110290,Joël Veltman
382241,Igor Julio
298694,Pervis Estupiñán
443004,Simon Adingra
400138,Bart Verbruggen
342889,Matt O'Riley
470690,Yasin Ayari
471784,Brajan Gruda
373525,João Pedro
436048,Carlos Baleba
362433,Georginio Rutter
484175,Yankuba Minteh
425142,Kaoru Mitoma
109922,Adam Webster
395692,Cole Palmer
362151,Robert Sánchez
133464,Jefferson Lerma
410175,Moisés Caicedo
337916,Pedro Neto
518604,Josh Acheampong
421351,Levi Colwill
363496,Marc Cucurella
395401,Chris Richards
322670,Ismaïla Sarr
374993,Cheick Doucouré
328096,Jean-Philippe Mateta
426050,Nicolas Jackson
400496,Daniel Muñoz
401130,Maxence Lacroix
374631,Marc Guéhi
403850,Malo Gusto
389579,Tyrick Mitchell
369430,Enzo Fernández
346300,Jadon Sancho
304008,Dean Henderson
332403,Eberechi Eze
344166,Daichi Kamada
483208,Marc Guiu
389935,Noni Madueke
345845,Eddie Nketiah
104058,Niclas Füllkrug
73084,Kevin De Bruyne
133569,Stefan Ortega
111372,Vladimír Coufal
297390,Manuel Akanji
122945,Nathan Aké
331254,Phil Foden
402664,Josko Gvardiol
397821,Savinho
444791,Rico Lewis
92516,Alphonse Areola
361710,Jean-Clair Todibo
319756,Lucas Paquetá
143595,Tomás Soucek
400166,Mohammed Kudus
93894,Mateo Kovacic
322696,Edson Álvarez
136741,Bernardo Silva
315227,Erling Haaland
368310,Maximilian Kilman
331924,Aaron Wan-Bissaka
382564,Crysencio Summerville
351127,Konstantinos Mavropanos
77464,Ilkay Gündogan
69778,Kyle Walker
478319,Luis Guilherme
425576,James McAtee
113069,Jack Grealish
91762,Danny Ings
438067,Tyler Dibling
316858,Aaron Ramsdale
