incidente_id,partido_id,minuto,tipo,subtipo,jugador_id,jugador_participante_id,campo,periodo
138,1821406,30,1,2,108226,,1,1
139,1821406,75,1,1,108226,355354,1,3
140,1821410,1,1,1,116317,110189,0,1
141,1821410,6,1,1,380546,131464,0,1
142,1821410,47,1,1,380546,367781,0,1
143,1821410,90,1,1,366116,,0,3
144,1821411,21,1,1,342877,,1,1
145,1821411,31,1,1,401254,,0,1
146,1821411,87,1,1,122182,,1,3
147,1821413,37,1,1,141486,,0,1
148,1821413,61,1,1,108186,306581,1,3
149,1821413,82,1,1,403649,243254,1,3
150,1821414,12,1,3,86441,,0,1
151,1821414,25,1,1,332867,413211,0,1
152,1821414,32,1,1,73380,413211,0,1
153,1821414,64,1,1,73380,413211,0,3
154,1821414,69,1,2,73380,,0,3
155,1821414,89,1,1,386969,328075,0,3
156,1821414,91,1,1,444826,,0,3
157,1821415,12,1,1,320242,94868,0,1
158,1821415,97,1,1,362758,,0,3
159,1821407,2,1,1,247454,326413,0,1
160,1821407,55,1,1,315227,397821,1,3
161,1821407,56,1,1,238940,,0,3
162,1821407,62,1,1,467918,332325,0,3
163,1821407,76,1,1,326413,380706,0,3
164,1821407,93,1,1,456771,332325,0,3
165,1821408,29,1,3,298689,,1,1
166,1821408,87,1,1,403859,91909,1,3
167,1821412,64,1,1,328096,,1,3
168,1821412,89,1,1,328096,400496,1,3
169,1821409,42,1,1,322596,,1,1
170,1821409,64,1,1,337916,,0,3
171,1821409,74,1,3,331924,,0,3
172,1821192,11,1,1,380546,381045,0,1
173,1821192,16,1,1,345319,108226,1,1
174,1821192,73,1,1,108226,,1,3
175,1821192,98,1,1,131464,416208,0,3
176,1821192,103,2,2,355354,,1,3
177,1821192,104,2,2,116317,,0,3
178,1821417,27,1,1,425142,400138,0,1
179,1821417,38,1,1,484175,39308,0,1
180,1821417,63,1,1,484175,39308,0,3
181,1821416,40,2,2,299271,,1,1
182,1821416,56,1,1,401254,430908,1,3
183,1821416,69,1,1,148503,,0,3
184,1821418,42,1,1,380546,391348,1,1
185,1821418,47,1,1,328096,374631,0,3
186,1821418,80,1,1,391348,,1,3
187,1821419,15,1,1,363686,140088,0,1
188,1821419,37,1,1,73380,332867,1,1
189,1821419,62,1,1,396976,108186,0,3
190,1821420,81,1,1,238916,456771,1,3
191,1821420,87,1,1,238916,113994,1,3
192,1821422,19,1,1,394749,121774,0,1
193,1821422,24,1,1,394749,77464,0,1
194,1821422,33,1,1,394749,397821,0,1
195,1821422,84,1,1,425576,315227,0,3
196,1821423,14,1,1,422183,128882,1,1
197,1821423,16,1,1,128882,331579,1,1
198,1821423,72,1,1,422135,122182,0,3
199,1821423,83,1,1,344314,357073,1,3
200,1821425,4,1,1,407260,,1,1
201,1821421,15,1,1,377168,,0,1
202,1821421,37,1,2,108226,,0,1
203,1821421,67,1,1,362758,320242,1,3
204,1821424,13,1,1,137015,,0,1
205,1821173,29,1,1,108226,235755,1,1
206,1821173,38,1,1,136345,,0,1
207,1821173,48,1,1,148503,89925,0,1
208,1821173,61,1,1,318871,108226,1,3
209,1821396,17,1,1,296240,401168,1,1
210,1821396,27,1,1,353377,401168,1,1
211,1821396,32,1,1,101856,353377,1,1
212,1821396,89,1,1,401385,,1,3
213,1821427,44,1,1,322596,331924,1,1
214,1821427,73,2,3,467918,,0,3
215,1821428,9,1,1,369430,337916,1,1
216,1821428,57,1,1,137467,300299,0,3
217,1821428,89,1,1,137467,300299,0,3
218,1821426,31,2,3,399826,,0,1
219,1821426,36,1,1,362758,377411,1,1
220,1821390,19,1,1,380546,116317,0,1
221,1821390,33,1,1,116317,,0,1
222,1821390,72,1,1,123761,,1,3
223,1821390,80,1,1,408962,,1,3
224,1821392,37,1,3,231135,,1,1
225,1821392,66,1,1,400496,328096,1,3
226,1821394,18,1,1,379688,91909,1,1
227,1821394,26,1,1,379688,91909,1,1
228,1821394,36,1,1,430908,363516,0,1
229,1821394,77,1,1,362219,137015,1,3
230,1821394,84,1,1,355855,407154,1,3
231,1821402,23,1,1,373525,,1,1
232,1821402,56,1,1,362433,484175,1,3
233,1821402,71,1,1,425142,373525,1,3
234,1821402,82,1,1,469629,471784,1,3
235,1821398,14,1,1,108226,369875,1,1
236,1821398,37,1,1,369875,108226,1,1
237,1821400,6,1,1,350088,,1,1
238,1821400,23,1,1,474264,430294,0,1
239,1821400,25,1,1,141486,,0,1
240,1821400,33,1,2,299254,,0,1
241,1821400,34,1,1,299254,342563,0,1
242,1821400,63,1,1,319785,73380,1,3
243,1821400,90,1,1,342830,,1,3
244,1821125,12,1,2,373525,,0,1
245,1821125,61,1,1,331579,424273,1,3
246,1821125,75,1,1,39308,362433,0,3
247,1821138,24,1,1,300945,136464,0,1
248,1821138,36,1,1,337916,300945,0,1
249,1821138,44,1,1,421351,337916,0,1
250,1821138,78,1,1,363496,523597,0,3
251,1821137,29,1,1,322670,,0,1
252,1821137,52,1,1,362824,148503,1,3
253,1821137,59,1,1,328096,332403,0,3
254,1821137,71,1,1,322670,400496,0,3
255,1821137,91,1,1,345845,389579,0,3
256,1821134,1,1,1,322611,243254,1,1
257,1821134,18,1,1,403693,296363,0,1
258,1821134,47,1,1,403649,140088,1,3
259,1821122,49,1,1,296240,,0,1
260,1821122,77,1,1,424495,345516,1,3
261,1821142,11,1,1,369875,377168,0,1
262,1821142,63,1,1,345319,108226,0,3
263,1821145,4,1,1,411335,,1,1
264,1821145,22,1,3,134666,,0,1
265,1821145,26,1,1,320374,,0,1
266,1821145,43,2,3,495260,,0,1
267,1821145,47,1,1,99487,123761,0,3
268,1821145,47,1,1,411335,299271,1,1
269,1821130,12,1,1,315227,,1,1
270,1821132,21,1,1,143595,,0,1
271,1821132,43,1,3,87182,,0,1
