partido_id,competicion_id,fecha_inicio,estado,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,tarjetas_amarillas_local,tarjetas_rojas_local,tarjetas_amarillas_visitante,tarjetas_rojas_visitante,tiempo_transcurrido
1821406,23400,2025-02-01T15:00:00,6,183,26,0,2,2,0,3,0,FT
1821410,23400,2025-02-01T15:00:00,6,31,14,4,0,0,0,0,0,FT
1821411,23400,2025-02-01T15:00:00,6,165,18,1,2,0,0,3,0,FT
1821413,23400,2025-02-01T15:00:00,6,23,170,1,2,4,0,4,0,FT
1821414,23400,2025-02-01T12:30:00,6,174,211,7,0,1,0,3,0,FT
1821415,23400,2025-02-01T17:30:00,6,161,24,2,0,2,0,3,0,FT
1821407,23400,2025-02-02T16:30:00,6,13,167,5,1,2,0,0,0,FT
1821408,23400,2025-02-02T14:00:00,6,189,30,0,2,0,0,1,0,FT
1821412,23400,2025-02-02T14:00:00,6,32,162,0,2,3,0,1,0,FT
1821409,23400,2025-02-03T20:00:00,6,15,29,2,1,3,0,1,0,FT
1821192,23400,2025-02-12T19:30:00,6,31,26,2,2,3,1,3,1,FT
1821417,23400,2025-02-14T20:00:00,6,211,15,3,0,1,0,2,0,FT
1821416,23400,2025-02-15T15:00:00,6,24,165,1,1,0,0,4,1,FT
1821418,23400,2025-02-15T17:30:00,6,162,31,1,2,0,0,1,0,FT
1821419,23400,2025-02-15T15:00:00,6,170,174,2,1,0,0,0,0,FT
1821420,23400,2025-02-15T12:30:00,6,14,13,0,2,2,0,1,0,FT
1821422,23400,2025-02-15T15:00:00,6,167,23,4,0,0,0,1,0,FT
1821423,23400,2025-02-15T15:00:00,6,18,183,1,3,1,0,3,0,FT
1821425,23400,2025-02-15T15:00:00,6,29,189,0,1,1,0,1,0,FT
1821421,23400,2025-02-16T14:00:00,6,26,161,2,1,2,0,2,0,FT
1821424,23400,2025-02-16T16:30:00,6,30,32,1,0,1,0,2,0,FT
1821173,23400,2025-02-19T19:30:00,6,24,26,2,2,1,0,0,0,FT
1821396,23400,2025-02-21T20:00:00,6,14,189,0,4,4,0,0,0,FT
1821427,23400,2025-02-22T15:00:00,6,13,29,0,1,1,1,3,0,FT
1821428,23400,2025-02-22T17:30:00,6,24,15,2,1,1,0,3,0,FT
1821426,23400,2025-02-22T15:00:00,6,183,161,0,1,3,1,3,0,FT
1821390,23400,2025-02-22T12:30:00,6,31,32,2,2,4,0,1,0,FT
1821392,23400,2025-02-22T15:00:00,6,170,162,0,2,1,0,3,0,FT
1821394,23400,2025-02-22T15:00:00,6,165,30,1,4,2,0,1,0,FT
1821402,23400,2025-02-22T15:00:00,6,18,211,0,4,2,0,0,0,FT
1821398,23400,2025-02-23T16:30:00,6,167,26,0,2,0,0,0,0,FT
1821400,23400,2025-02-23T14:00:00,6,23,174,4,3,1,0,4,0,FT
1821125,23400,2025-02-25T19:30:00,6,211,183,2,1,2,0,1,0,FT
1821138,23400,2025-02-25T20:15:00,6,15,18,4,0,1,0,2,0,FT
1821137,23400,2025-02-25T19:30:00,6,162,24,4,1,3,0,1,0,FT
1821134,23400,2025-02-25T19:30:00,6,161,170,1,2,1,0,3,0,FT
1821122,23400,2025-02-26T19:30:00,6,189,31,1,1,2,0,1,0,FT
1821142,23400,2025-02-26T20:15:00,6,26,23,2,0,0,0,1,0,FT
1821145,23400,2025-02-26T19:30:00,6,32,165,3,2,4,1,4,0,FT
1821128,23400,2025-02-26T19:30:00,6,174,13,0,0,1,0,1,0,FT
1821130,23400,2025-02-26T19:30:00,6,30,167,0,1,3,0,0,0,FT
1821132,23400,2025-02-27T20:00:00,6,29,14,2,0,0,0,0,0,FT
